Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,Ora Lee Parthesius,Full name,7,0,7,0.062,1944–1953
Relief Society Magazine,Ora Pate Stewart,Full name,7,0,7,0.048,1947–1965
Relief Society Magazine,Orson F. Whitney,Full name,7,0,7,0.049,1914–1929
Relief Society Magazine,P. Young,Full name,7,0,7,0.059,1964–1967
Relief Society Magazine,Parley Nelson,Full name,7,0,7,-0.015,1917–1928
Relief Society Magazine,Priscilla L. Evans,Full name,7,0,7,0.054,1930–1949
Relief Society Magazine,Probst Young,Full name,7,0,7,0.075,1963–1970
Relief Society Magazine,Riggs Mckay,Full name,7,0,7,0.148,1963–1970
Relief Society Magazine,Rose A. Openshaw,Full name,7,0,7,0.063,1952–1967
Relief Society Magazine,Rose H. Widtsoe,Full name,7,0,7,0.035,1915–1944
Relief Society Magazine,Van Wagenen,Full name,7,0,7,0.076,1947–1966
Relief Society Magazine,Y. Bradshaw,Full name,7,0,7,0.063,1967–1970
Relief Society Magazine,Abbie R. Madsen,Full name,6,0,6,0.125,1921–1950
Relief Society Magazine,Ada Hurst Brown,Full name,6,0,6,0.042,1932–1936
Relief Society Magazine,Adams Leitner,Full name,6,0,6,0.144,1956–1968
Relief Society Magazine,Amy M. Rice,Full name,6,0,6,0.084,1918–1940
Relief Society Magazine,Bonnie A. Kesler,Full name,6,0,6,0.067,1952–1953
Relief Society Magazine,E. Breinholt,Full name,6,0,6,0.064,1966–1969
Relief Society Magazine,E. Henderson,Full name,6,0,6,0.017,1963–1970
Relief Society Magazine,Edna S. Dustin,Full name,6,0,6,0.078,1943–1949
Relief Society Magazine,Elise B. Alder,Full name,6,0,6,0.119,1933–1934
Relief Society Magazine,Ethel C. Smith,Full name,6,0,6,0.037,1949–1960
Relief Society Magazine,Fay Ollerton,Full name,6,0,6,0.022,1927–1936
Relief Society Magazine,George W. Middleton,Full name,6,0,6,0.05,1923–1933
Relief Society Magazine,Hesser Burnham,Full name,6,0,6,0.038,1966–1969
Relief Society Magazine,Jeanette Mckay Morrell,Full name,6,0,6,0.095,1942–1953
Relief Society Magazine,John A. Widtsoe,Full name,6,0,6,0.065,1921–1951
Relief Society Magazine,Josephine Spencer,Full name,6,0,6,0.026,1928–1934
Relief Society Magazine,Judge Nephi Jensen,Full name,6,0,6,0.046,1932–1936
Relief Society Magazine,Katherine Kelly,Full name,6,0,6,0.038,1949–1951
Relief Society Magazine,Legrand Richards,Full name,6,0,6,0.068,1939–1969
Relief Society Magazine,Martha Robeson Wright,Full name,6,0,6,0.016,1939–1952
Relief Society Magazine,Marvin Jones,Full name,6,0,6,-0.004,1948–1951
Relief Society Magazine,Mary C. Kimball,Full name,6,0,6,0.049,1932–1938
Relief Society Magazine,Mary Ek Knowles,Full name,6,0,6,0.029,1937–1959
Relief Society Magazine,Mary Hale Woolsey,Full name,6,0,6,0.041,1927–1939
Relief Society Magazine,Maud Chegwidden,Full name,6,0,6,0.054,1926–1932
Relief Society Magazine,Mirla Greenwood Thayne,Full name,6,0,6,0.061,1934–1953
Relief Society Magazine,R. Mcallister,Full name,6,0,6,0.069,1964–1968
Relief Society Magazine,R. Mcconkie,Full name,6,0,6,0.08,1937–1970
Relief Society Magazine,Ruby Scranton Jones,Full name,6,0,6,0.026,1945–1947
Relief Society Magazine,Spencer W. Kimball,Full name,6,0,6,0.019,1947–1969
Relief Society Magazine,Stephen L. Richards,Full name,6,0,6,0.072,1936–1954
Relief Society Magazine,Viola Ashton Candland,Full name,6,0,6,0.02,1962–1965
Relief Society Magazine,A. Kleinman,Full name,5,0,5,0.049,1964–1968
Relief Society Magazine,Albert E. Bowen,Full name,5,0,5,0.014,1944–1951
Relief Society Magazine,Basil O'Connor,Full name,5,0,5,0.037,1953–1961
Relief Society Magazine,Bernice T. Clayton,Full name,5,0,5,0.059,1951–1955
Relief Society Magazine,Berta H. Christensen,Full name,5,0,5,0.029,1947–1951
