word,comparison,period_a,period_b,prt,apd,jsd,n_a,n_b
charity,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.18286478519439697,0.18362796306610107,0.09120812167541356,250,250
charity,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.1747300624847412,0.17449963092803955,0.007125527489609984,186,250
duty,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.18439429998397827,0.18337315320968628,0.004417684640769959,250,250
duty,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18397140502929688,0.18236660957336426,0.00988589798033502,250,250
duty,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.19225525856018066,0.1927059292793274,0.008645764757323461,250,245
duty,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.18843424320220947,0.18786555528640747,0.004935196544908829,250,245
duty,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.18420273065567017,0.1826993227005005,0.0016444752073946746,250,250
duty,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.19289636611938477,0.1932312250137329,0.0033540175284832736,250,245
duty,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.18944388628005981,0.18935275077819824,0.008220856641827336,250,245
duty,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.19198572635650635,0.1922975778579712,0.0039059786381760997,250,245
duty,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.18886452913284302,0.18974101543426514,0.014337980673666508,250,245
duty,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.1967862844467163,0.19603151082992554,0.007030761779129421,245,245
woman,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.18022125959396362,0.17853319644927979,0.015740266212267415,249,250
woman,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.18671518564224243,0.1866142749786377,0.013137038442399968,249,250
woman,1915-1929 vs 1950-1959,1915-1929,1950-1959,0.18502306938171387,0.1852359175682068,0.035290151336486664,249,250
woman,1915-1929 vs 1960-1970,1915-1929,1960-1970,0.18405264616012573,0.18465429544448853,0.020210694487608365,249,250
woman,1930-1939 vs 1940-1949,1930-1939,1940-1949,0.183399498462677,0.18402278423309326,0.001687091646231364,250,250
woman,1930-1939 vs 1950-1959,1930-1939,1950-1959,0.180325448513031,0.18147993087768555,0.020692189394686734,250,250
woman,1930-1939 vs 1960-1970,1930-1939,1960-1970,0.17990100383758545,0.18143045902252197,0.004192337536365134,250,250
woman,1940-1949 vs 1950-1959,1940-1949,1950-1959,0.18804597854614258,0.18808335065841675,0.013970151777939418,250,250
woman,1940-1949 vs 1960-1970,1940-1949,1960-1970,0.18680721521377563,0.18740594387054443,0.003868241858896091,250,250
woman,1950-1959 vs 1960-1970,1950-1959,1960-1970,0.1836104393005371,0.1839362382888794,0.026286847933380125,250,250
family,1915-1929 vs 1930-1939,1915-1929,1930-1939,0.17242205142974854,0.17232227325439453,0.00999637137388639,250,250
family,1915-1929 vs 1940-1949,1915-1929,1940-1949,0.17361027002334595,0.17353439331054688,0.019648288804874632,250,250
