doc_id,filename,Title,Author,Article_Type,volume_num,year,issue,dominant_topic,topic_label,proportion_pct,strong_exemplar
1803,WE_Vol39_1910_Issue1_010_R_S_REPORTS.txt,R. S. REPORTS.,Unknown,Relief Society Report,39,1910,1,2,Relief Society Conference Reports,70.5,TRUE
798,WE_Vol34_1905_Issue7_005_R_S_REPORT.txt,R. S. REPORT.,"FANNIE W. KIMBALL,",Relief Society Report,34,1905,7,2,Relief Society Conference Reports,70.1,TRUE
1241,WE_Vol36_1907_Issue6_006_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,36,1907,6,2,Relief Society Conference Reports,70.1,TRUE
2261,WE_Vol40_1911_Issue8_024_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,40,1911,8,2,Relief Society Conference Reports,70,TRUE
1037,WE_Vol35_1906_Issue7_009_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,"EMMA VANCE,",Relief Society Report,35,1906,7,2,Relief Society Conference Reports,69.8,TRUE
1625,WE_Vol38_1909_Issue3_020_BINGHAM_STAKE.txt,BINGHAM STAKE.,Unknown,Article,38,1909,3,2,Relief Society Conference Reports,69.8,TRUE
768,WE_Vol34_1905_Issue5_017_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,34,1905,5,2,Relief Society Conference Reports,69.6,TRUE
1106,WE_Vol35_1906_Issue9_028_NEBO_STAKE.txt,Nebo Stake,"ELIZA A. HAWKINS,",Article,35,1906,9,2,Relief Society Conference Reports,69.3,TRUE
1352,WE_Vol37_1908_Issue1_020_EMERY_STAKE.txt,EMERY STAKE.,Unknown,Article,37,1908,1,2,Relief Society Conference Reports,69.3,TRUE
2303,WE_Vol41_1912_Issue11_012_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,41,1912,11,2,Relief Society Conference Reports,69.3,TRUE
734,WE_Vol34_1905_Issue4_010_MEMORIAL_MEETING.txt,Memorial Meeting,Unknown,Board/Meeting,34,1905,4,2,Relief Society Conference Reports,69.1,TRUE
1225,WE_Vol36_1907_Issue5_015_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,Unknown,Relief Society Report,36,1907,5,2,Relief Society Conference Reports,69.1,TRUE
2434,WE_Vol41_1912_Issue3_023_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,41,1912,3,2,Relief Society Conference Reports,69.1,TRUE
74,WE_Vol32_1903_Issue11_012_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,32,1903,11,2,Relief Society Conference Reports,69,TRUE
1186,WE_Vol36_1907_Issue4_001_FRONT_MATTER.txt,FRONT_MATTER,Unknown,Front Matter,36,1907,4,2,Relief Society Conference Reports,69,TRUE
1217,WE_Vol36_1907_Issue5_007_MILLARD_STAKE.txt,MILLARD STAKE.,Unknown,Article,36,1907,5,2,Relief Society Conference Reports,68.9,TRUE
1736,WE_Vol38_1909_Issue7_022_REORGANIZATION.txt,Reorganization,Unknown,Article,38,1909,7,2,Relief Society Conference Reports,68.9,TRUE
167,WE_Vol32_1903_Issue2_058_LADIES_SEMI_MONTHLY_MEETING_2.txt,LADIES’ SEMI-MONTHLY MEETING.,Unknown,Board/Meeting,32,1903,2,2,Relief Society Conference Reports,68.3,TRUE
156,WE_Vol32_1903_Issue2_047_EDITORIAL_NOTES.txt,EDITORIAL NOTES.,WOMAN’S EXPONENT,Editorial,32,1903,2,2,Relief Society Conference Reports,68.2,TRUE
509,WE_Vol33_1904_Issue5_022_EMERY_STAKE.txt,EMERY STAKE.,Unknown,Article,33,1904,5,2,Relief Society Conference Reports,68,TRUE
246,WE_Vol32_1903_Issue6_028_EMERY_STAKE.txt,EMERY STAKE.,Unknown,Article,32,1903,6,2,Relief Society Conference Reports,67.7,TRUE
296,WE_Vol32_1903_Issue8_025_BOX_ELDER.txt,BOX ELDER.,Unknown,Article,32,1903,8,2,Relief Society Conference Reports,67.6,TRUE
1720,WE_Vol38_1909_Issue7_006_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,Unknown,Relief Society Report,38,1909,7,2,Relief Society Conference Reports,67.5,TRUE
961,WE_Vol35_1906_Issue4_022_R_S_REPORTS.txt,R. S. REPORTS.,"ANNA E. FULLER,",Relief Society Report,35,1906,4,2,Relief Society Conference Reports,67.4,TRUE
1246,WE_Vol36_1907_Issue6_011_R_S_REPORTS.txt,R. S. REPORTS.,Unknown,Relief Society Report,36,1907,6,2,Relief Society Conference Reports,67.3,TRUE
2402,WE_Vol41_1912_Issue2_021_OGDEN_STAKE.txt,Ogden Stake,Unknown,Article,41,1912,2,2,Relief Society Conference Reports,67.3,TRUE
692,WE_Vol34_1905_Issue10_022_SAN_JUAN_STAKE.txt,SAN JUAN STAKE.,Unknown,Article,34,1905,10,2,Relief Society Conference Reports,67.2,TRUE
2281,WE_Vol41_1912_Issue1_013_UINTAH_STAKE.txt,UINTAH  STAKE.,"PHEBE A. MERKLEY,",Article,41,1912,1,2,Relief Society Conference Reports,66.9,TRUE
2356,WE_Vol41_1912_Issue13_019_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,WOMAN’S EXPONENT,Relief Society Report,41,1912,13,2,Relief Society Conference Reports,66.9,TRUE
935,WE_Vol35_1906_Issue3_021_LIBERTY_STAKE.txt,LIBERTY STAKE.,Unknown,Article,35,1906,3,2,Relief Society Conference Reports,66.8,TRUE
1793,WE_Vol38_1909_Issue9_023_R_S_REPORTS.txt,R. S. REPORTS.,Unknown,Relief Society Report,38,1909,9,2,Relief Society Conference Reports,66.6,TRUE
