doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
1146,WE_Vol40_1911_Issue7_004_EMMELINE_B_WELLS_LIT_D.txt,"EMMELINE B. WELLS, LIT. D.",the people of Utah in the coming of,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,40.2,TRUE
1453,WE_Vol33_1904_Issue8_015_A_GOLDEN_WEDDING.txt,A GOLDEN WEDDING.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,40.2,TRUE
1837,WE_Vol32_1903_Issue5_010_HONOR_TO_APOSTLE_H_J_GRANT.txt,HONOR TO APOSTLE H. J. GRANT.,WOMAN’S EXPONENT,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,39.6,FALSE
1102,WE_Vol35_1906_Issue9_019_EIGHTY_FIVE_YEARS_YOUNG.txt,Eighty-Five Years Young,WOMAN’S EXPONENT,Article,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,39.4,FALSE
2693,V1_1914_May_08_Art_Music.txt,Music,,Article,Vol1,1914,May,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,39.2,FALSE
376,WE_Vol38_1909_Issue7_014_THE_BISHOP_S_BUILDING.txt,THE BISHOP’S BUILDING.,Unknown,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,39.1,FALSE
1783,August_Vol5_09_Home_Entertainments_Home_Entertainments.txt,Entertainments Home Entertainments,,Home,Vol5,1918,August,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,39.1,FALSE
3082,July_Vol10_08c_Article_The_Pageant.txt,The Pageant,Oliver K. Meservy,Article,Vol10,1923,July,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,39.1,FALSE
1921,October_Vol5_05_Article_The_Influence_of_Music_Lucy_May_Green.txt,The Influence of Music Lucy May Green,,Article,Vol5,1918,October,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,39,FALSE
171,WE_Vol36_1907_Issue4_013_AN_ARTISTIC_BOOKLET.txt,AN ARTISTIC BOOKLET.,Unknown,Article,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,38.9,FALSE
1785,February_Vol5_07_Home_Entertainments_February_Home_Entertainment_Morag.txt,Entertainments February Home Entertainment Morag,,Home,Vol5,1918,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,38.9,FALSE
2037,WE_Vol33_1904_Issue3_037_KENSINGTON_TEAS.txt,KENSINGTON TEAS.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,38.9,FALSE
3123,WE_Vol38_1909_Issue10_005_PEACE_MEETINGS.txt,Peace Meetings,WOMAN’S EXPONENT,Board/Meeting,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,38.6,FALSE
4047,October_Vol5_06_Article_War_Time_Entertainments_Morag.txt,War Time Entertainments Morag,,Article,Vol5,1918,October,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,38.4,FALSE
1786,April_Vol5_08_Home_Entertainments_Home_Entertainment_Morag.txt,Entertainments Home Entertainment Morag,,Home,Vol5,1918,April,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,38.3,FALSE
3045,WE_Vol41_1912_Issue4_016_AN_OLD_FASHIONED_PARTY.txt,AN OLD-FASHIONED PARTY.,Unknown,Article,Vol41,1912,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,38.3,FALSE
